factor,factorLabel,x,runs,successes,successRate,medianSuccessTurns,p25SuccessTurns,p75SuccessTurns,meanProductionTurns,meanSettlementTurns,meanInteractions,meanMaxHoardingIndex,meanScarcityEvents
basket_thinness,Common Basket thinness,0,12,12,1,222,212,227,159.333,57.417,536.833,2.833,0
basket_thinness,Common Basket thinness,0.05,12,12,1,199,188,210,145.583,55.917,536.333,2.583,0
basket_thinness,Common Basket thinness,0.1,12,12,1,207,196,214,155.5,53.083,531.917,2.667,0
basket_thinness,Common Basket thinness,0.15,12,12,1,215,205,231,156.333,64.333,538.667,2.75,0
basket_thinness,Common Basket thinness,0.2,12,12,1,208,205,230,157.667,58.333,533,2.667,0
basket_thinness,Common Basket thinness,0.25,12,12,1,218,214,233,161.5,64.333,534.083,2.333,0
basket_thinness,Common Basket thinness,0.3,12,12,1,237,225,245,170.667,66.25,534.333,2.667,0
basket_thinness,Common Basket thinness,0.35,12,12,1,241,236,251,175.083,69.25,536.167,2.833,0
basket_thinness,Common Basket thinness,0.4,12,12,1,251,239,270,180.083,74.25,537.167,2.75,0
basket_thinness,Common Basket thinness,0.45,12,12,1,260,251,275,189.583,76.917,530.917,2.75,0
basket_thinness,Common Basket thinness,0.5,12,12,1,292,273,303,201.667,92.667,536.167,2.917,0
basket_thinness,Common Basket thinness,0.55,12,12,1,277,267,303,208.083,81.417,531.083,2.667,0
basket_thinness,Common Basket thinness,0.6,12,12,1,334,312,365,238.167,102.75,536.5,2.583,0
basket_thinness,Common Basket thinness,0.65,12,12,1,359,319,398,249.667,119.917,533.583,2.833,0
basket_thinness,Common Basket thinness,0.7,12,12,1,435,383,457,278.667,145.25,533.917,2.417,0
basket_thinness,Common Basket thinness,0.75,12,11,0.917,538,440,621,351.727,181.818,537.909,2.818,0
coordination_delay,Coordination delay,0,12,12,1,211,189,219,148,56.75,538.083,2.583,0
coordination_delay,Coordination delay,0.05,12,12,1,203,183,222,151.583,53.5,534.75,2.833,0
coordination_delay,Coordination delay,0.1,12,12,1,206,194,222,152.083,58.917,536,2.75,0
coordination_delay,Coordination delay,0.15,12,12,1,212,196,218,157.917,58.667,534.333,2.583,0
coordination_delay,Coordination delay,0.2,12,12,1,218,206,239,160.333,62.917,538.417,2.833,0
coordination_delay,Coordination delay,0.25,12,12,1,229,209,244,168.417,62.917,533.917,2.333,0
coordination_delay,Coordination delay,0.3,12,12,1,224,216,244,165.167,67.167,537,2.667,0
coordination_delay,Coordination delay,0.35,12,12,1,223,212,241,170.667,62.667,531.5,2.667,0
coordination_delay,Coordination delay,0.4,12,12,1,221,207,249,167.5,65.417,535.25,2.667,0
coordination_delay,Coordination delay,0.45,12,12,1,245,234,255,169.083,78,535.833,2.5,0
coordination_delay,Coordination delay,0.5,12,12,1,250,234,263,175.5,78.083,536.333,2.5,0
coordination_delay,Coordination delay,0.55,12,12,1,255,223,271,178.5,74,534.417,2.5,0
coordination_delay,Coordination delay,0.6,12,12,1,278,266,288,190.417,89.25,536.667,2.833,0
coordination_delay,Coordination delay,0.65,12,12,1,281,261,294,197.167,85.417,537,2.667,0
coordination_delay,Coordination delay,0.7,12,12,1,286,269,295,185.5,102.667,535.583,2.333,0
coordination_delay,Coordination delay,0.75,12,12,1,280,269,331,199.917,92.833,536.333,2.5,0
hoarding,Hoarding surplus,0,12,12,1,212,196,223,151.5,61.667,536.25,2.917,0
hoarding,Hoarding surplus,0.05,12,12,1,211,187,215,153.75,53,532.917,2.833,0
